노드ID,노드순번,노드유형,노드명,노드설명,좌표X,좌표Y,맵핑좌표X,맵핑좌표Y,지역ID,정류장번호,사용여부,표준코드여부(1:표준/0:비표준)
111001124,1,0.0,덕산중학교.두산위브아파트,덕산중학교.두산위브아파트,126.904580478,37.6003715553,126.904649,37.600406,,12499.0,1,0
1249900122,2,101.0,강일리버스트4단지앞,,127.171746125,37.5715351294,0.0,0.0,,,1,0
207000587,1,0.0,세아.보광.건영아파트앞,세아.보광.건영아파트앞,127.077156325,37.7350597663,127.077156325,37.7350597663,,61097.0,1,1
115000944,1,0.0,서울식물원.숲문화학교,,126.83451,37.566316,126.834537792,37.5661329047,,16619.0,1,0
116900308,1,5.0,항동중학교,,126.822022,37.483237,126.821875883,37.4831716183,,17534.0,1,0
116000634,1,0.0,항동하버라인3단지,,126.82304508,37.4791611089,126.82302005,37.4791559757,,17360.0,1,0
164000630,1,0.0,송도파크자이,연수파크자이,126.655096113,37.4058642683,126.655096113,37.4058642683,,38628.0,1,1
164000629,1,0.0,송도파크자이,연수파크자이,126.654407915,37.4074546464,126.654407915,37.4074546464,,38627.0,1,1
164000628,1,0.0,송도파크레인동일하이빌,송도동일하이빌파크레인,126.656053687,37.4043173202,126.656053687,37.4043173202,,38626.0,1,1
164000627,1,0.0,송도파크레인동일하이빌,송도동일하이빌파크레인,126.656706368,37.4028435758,126.656706368,37.4028435758,,38625.0,1,1
164000626,1,0.0,e편한세상 정문,e편한세상 정문,126.614928551,37.4101244857,126.614928551,37.4101244857,,38624.0,1,1
106000486,1,0.0,능산사거리,,127.101942,37.60848,127.102018977,37.6084923951,,7142.0,1,0
164000619,1,0.0,국제업무지구역5번출구,국제업무지구역5번출구,126.630130103,37.3972621173,126.630130103,37.3972621173,,38619.0,1,1
161000650,1,0.0,스카이시티자이.화성파크드림,스카이시티자이,126.559367317,37.4890767858,126.559367317,37.4890767858,,35650.0,1,1
122900102,1,5.0,강남신동아파밀리에2단지,강남신동아파밀리에2단지,127.101708,37.464601,127.101595654,37.4648449665,,23893.0,1,0
122900106,1,5.0,방죽마을입구,방죽마을입구,127.106377,37.471284,127.106118241,37.4710336383,,23937.0,1,0
161000651,1,0.0,화성파크드림.스카이시티자이,스카이시티자이,126.559525384,37.4892410578,126.559525384,37.4892410578,,35651.0,1,1
