업체명,노선명,유형,기점,종점,인가대수,운행대수,예비대수,인가거리,운행시간,총운행횟수,최소,최대,첫차시간,막차시간
북부운수,01A,순환,남산예장버스환승주차장,남산예장버스환승주차장,15 ,11 ,2 ,16,60 ,132 ,5 ,12 ,630,2300
북부운수,01B,순환,남산예장버스환승주차장,남산예장버스환승주차장,7 ,7 ,0 ,16,65 ,84 ,10 ,18 ,630,2300
대원여객,040,간선,용산공영차고지,개포동,15 ,12 ,3 ,38.5,195 ,71 ,13 ,17 ,430,2240
보광교통,0017,지선,용산차고지,신용산역3번출구,9 ,8 ,1 ,13.5,70 ,96 ,9 ,16 ,500,2315
대원여객,0411,지선,용산차고지,AT센터,22 ,21 ,1 ,44.3,220 ,88 ,10 ,15 ,420,2230
한성여객,100 ,간선,하계동,용산구청,29 ,28 ,1 ,57.09,237 ,109 ,8 ,12 ,400,2230
동아운수,101 ,간선,우이동,서소문,23 ,22 ,1 ,37.81,170 ,118 ,6 ,10 ,400,2300
한성운수,101 ,간선,우이동,서소문,8 ,8 ,0 ,37.81,170 ,41 ,5 ,10 ,400,2300
삼화상운,102 ,간선,상계주공7단지,동대문,2 ,2 ,0 ,30.2,126 ,14 ,8 ,12 ,400,2310
흥안운수,102 ,간선,상계주공7단지,동대문,18 ,17 ,1 ,30.2,126 ,120 ,8 ,12 ,400,2310
삼화상운,103 ,간선,삼화상운,서울역,24 ,23 ,1 ,30.42,135 ,149 ,6 ,12 ,430,2300
선일교통,104 ,간선,강북청소년수련관,서울역버스환승센터,24 ,23 ,1 ,30.5,145 ,152 ,5 ,10 ,400,2315
흥안운수,105 ,간선,상계주공7단지,서울역,18 ,18 ,0 ,38.77,145 ,101 ,8 ,14 ,400,2240
대원여객,107 ,간선,민락동차고지,동대문,25 ,24 ,1 ,61,230 ,92 ,10 ,13 ,410,2230
영신여객,109 ,간선,우이동,광화문,14 ,14 ,0 ,28.16,122 ,100 ,9 ,15 ,427,2320
대원여객,111 ,간선,민락동차고지,동대문,13 ,13 ,0 ,57.1,235 ,48 ,15 ,24 ,410,2220
영신여객,120 ,간선,우이동,청량리,32 ,31 ,1 ,33.1,142 ,186 ,5 ,8 ,425,2310
동아운수,121 ,간선,화계사,서울숲,26 ,25 ,1 ,33.68,150 ,143 ,6 ,10 ,400,2230
삼양교통,130 ,간선,우이동,길동,42 ,39 ,3 ,48.7,183 ,196 ,3 ,12 ,420,2250
한국brt자동차,140 ,간선,도봉산역광역환승센터,AT센터양재꽃시장,45 ,44 ,1 ,58.1,230 ,176 ,5 ,8 ,400,2250
아진교통,141 ,간선,도봉산,염곡동,37 ,36 ,1 ,54.1,215 ,141 ,5 ,12 ,400,2240
아진교통,142 ,간선,방배동,도봉산,38 ,37 ,1 ,59.4,225 ,143 ,5 ,12 ,400,2245
대진여객,143 ,간선,정릉,개포동,50 ,49 ,1 ,62.2,230 ,196 ,4 ,8 ,400,2210
삼양교통,144 ,간선,우이동,교대,39 ,38 ,1 ,48.79,205 ,166 ,3 ,12 ,430,2250
한성운수,145 ,간선,번동,강남역,34 ,33 ,1 ,45.6,185 ,156 ,4 ,10 ,400,2240
